Table 1
Category,Proxy,Unit,£ Value,Evidence,Evidence Match,Research Batch,
Improved access to community facilities and services,Value of *social impact per return bus trip (non concessions pass holder) *the value bus users enjoy from accessing Global particular services that they would not otherwise have had easy access to” (2021),of bus,,https://www.gov.uk/guidance/transport-analysis-guidance-tag,Direct/supporting UK appraisal source,2,
"Improved access to money, budgeting and debt advice",Ability to insure home contents (2020)    Global,of lds r,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice",Average debt per CAB client (2015)        Global,of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice",Average gain per client from CAB Global consumer advice (2016),of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice",Average spend of households per year Global (2017),of lds r,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice",Budget and debt advice training session   Global,r,,https://www.gov.uk/government/publications/employer-skills-survey-2024-uk-report,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice /app.socialvalueengine.co.uk/proxies - Social Value Engine",Funeral poverty                           Global,"of e 14 of 103 /2026, 17:30",,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice",Relief from being heavily burdened with Global debt (2020),of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
"Improved access to money, budgeting and debt advice",Total average household spend per Global week (2020),of,,https://www.citizensadvice.org.uk/about-us/information/all-our-impact/,Direct/supporting UK source,2,
Improved and supported visitor economy (tourism),Average holiday park visitor day spend (staying in owned accommodation -          Global England),rson per,,https://www.visitbritain.org/research-insights/great-britain-day-visits-survey-latest-results,Direct UK tourism source,2,
Improved and supported visitor economy (tourism),Average holiday park visitor day spend (staying in rented or touring              Global accommodation - England),rson per,,https://www.gov.uk/government/collections/english-housing-survey,Direct/supporting UK source,2,
Improved and supported visitor economy (tourism),Average spend on tourism to create a Global job (2024),of t jobs,,https://www.visitbritain.org/research-insights/great-britain-day-visits-survey-latest-results,Direct UK tourism source,2,
Improved and supported visitor economy (tourism),Average tourism day visit spend by Global destination (England) (2024),of,,https://www.visitbritain.org/research-insights/great-britain-day-visits-survey-latest-results,Direct UK tourism source,2,
Improved and supported visitor economy (tourism),Average tourism day visit spend by Global destination (GB) (2024),of,,https://www.visitbritain.org/research-insights/great-britain-day-visits-survey-latest-results,Direct UK tourism source,2,
Improved and supported visitor economy (tourism),Average tourism day visit spend by Global destination (Scotland) (2024),of,,https://www.visitbritain.org/research-insights/great-britain-day-visits-survey-latest-results,Direct UK tourism source,2,
Improved and supported visitor economy (tourism),Average tourism day visit spend by Global destination (Wales) (2024),of,,https://www.visitbritain.org/research-insights/great-britain-day-visits-survey-latest-results,Direct UK tourism source,2,
